COUNTRY,Country,BIRTH,Place of birth,GENDER,Gender,RATE,Rate,YEAR,Year,Value
AUS,Australia,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2011,2011,79.3
AUS,Australia,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2012,2012,78.6
AUS,Australia,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2013,2013,77.8
AUS,Australia,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2014,2014,77.7
AUS,Australia,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2015,2015,78.8
AUS,Australia,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2016,2016,78.8
AUS,Australia,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2017,2017,79.2
AUS,Australia,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2018,2018,79.9
AUS,Australia,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2019,2019,79.7
AUS,Australia,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2020,2020,78.3
AUS,Australia,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2021,2021,81
AUS,Australia,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2011,2011,4.6
AUS,Australia,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2012,2012,4.9
AUS,Australia,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2013,2013,5.8
AUS,Australia,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2014,2014,5.7
AUS,Australia,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2015,2015,5.8
AUS,Australia,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2016,2016,5.4
AUS,Australia,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2017,2017,5.2
AUS,Australia,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2018,2018,4.7
AUS,Australia,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2019,2019,4.9
AUS,Australia,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2020,2020,6.6
AUS,Australia,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2021,2021,4.9
AUS,Australia,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2011,2011,83.1
AUS,Australia,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2012,2012,82.7
AUS,Australia,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2013,2013,82.6
AUS,Australia,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2014,2014,82.4
AUS,Australia,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2015,2015,83.6
AUS,Australia,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2016,2016,83.2
AUS,Australia,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2017,2017,83.6
AUS,Australia,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2018,2018,83.8
AUS,Australia,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2019,2019,83.7
AUS,Australia,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2020,2020,83.9
AUS,Australia,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2021,2021,85.2
AUS,Australia,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2011,2011,61.9
AUS,Australia,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2012,2012,61.5
AUS,Australia,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2013,2013,62
AUS,Australia,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2014,2014,61.7
AUS,Australia,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2015,2015,61.4
AUS,Australia,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2016,2016,62
AUS,Australia,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2017,2017,62.7
AUS,Australia,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2018,2018,64.3
AUS,Australia,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2019,2019,65.3
AUS,Australia,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2020,2020,64
AUS,Australia,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2021,2021,67.8
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2011,2011,6
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2012,2012,6
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2013,2013,6.1
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2014,2014,6.6
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2015,2015,6.8
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2016,2016,6.7
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2017,2017,6.9
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2018,2018,6.5
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,6.2
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2020,2020,7.7
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2021,2021,5.8
AUS,Australia,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2011,2011,65.9
AUS,Australia,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2012,2012,65.5
AUS,Australia,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2013,2013,66
AUS,Australia,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2014,2014,66.1
AUS,Australia,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2015,2015,65.9
AUS,Australia,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2016,2016,66.5
AUS,Australia,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2017,2017,67.3
AUS,Australia,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2018,2018,68.8
AUS,Australia,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2019,2019,69.7
AUS,Australia,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2020,2020,69.3
AUS,Australia,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2021,2021,72
AUS,Australia,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2011,2011,70.5
AUS,Australia,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2012,2012,70
AUS,Australia,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2013,2013,69.7
AUS,Australia,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2014,2014,69.6
AUS,Australia,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2015,2015,69.9
AUS,Australia,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2016,2016,70.3
AUS,Australia,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2017,2017,70.8
AUS,Australia,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2018,2018,72
AUS,Australia,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2019,2019,72.3
AUS,Australia,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2020,2020,71
AUS,Australia,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2021,2021,74.2
AUS,Australia,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2011,2011,5.2
AUS,Australia,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2012,2012,5.4
AUS,Australia,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2013,2013,5.9
AUS,Australia,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2014,2014,6.1
AUS,Australia,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2015,2015,6.2
AUS,Australia,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2016,2016,6
AUS,Australia,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2017,2017,5.9
AUS,Australia,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2018,2018,5.5
AUS,Australia,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2019,2019,5.5
AUS,Australia,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2020,2020,7.1
AUS,Australia,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2021,2021,5.3
AUS,Australia,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2011,2011,74.4
AUS,Australia,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2012,2012,74
AUS,Australia,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2013,2013,74.1
AUS,Australia,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2014,2014,74.1
AUS,Australia,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2015,2015,74.6
AUS,Australia,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2016,2016,74.7
AUS,Australia,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2017,2017,75.2
AUS,Australia,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2018,2018,76.2
AUS,Australia,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2019,2019,76.5
AUS,Australia,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2020,2020,76.4
AUS,Australia,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2021,2021,78.4
AUT,Austria,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2011,2011,75
AUT,Austria,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2012,2012,73.5
AUT,Austria,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2013,2013,72.7
AUT,Austria,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2014,2014,71.1
AUT,Austria,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2015,2015,71.7
AUT,Austria,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2016,2016,70.8
AUT,Austria,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2017,2017,72.3
AUT,Austria,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2018,2018,75.3
AUT,Austria,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2019,2019,75.2
AUT,Austria,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2020,2020,72.6
AUT,Austria,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2021,2021,74.9
AUT,Austria,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2011,2011,8
AUT,Austria,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2012,2012,9.6
AUT,Austria,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2013,2013,10.4
AUT,Austria,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2014,2014,10.8
AUT,Austria,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2015,2015,11.1
AUT,Austria,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2016,2016,12.4
AUT,Austria,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2017,2017,10.9
AUT,Austria,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2018,2018,9.6
AUT,Austria,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2019,2019,8.2
AUT,Austria,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2020,2020,11.2
AUT,Austria,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2021,2021,11
AUT,Austria,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2011,2011,81.5
AUT,Austria,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2012,2012,81.3
AUT,Austria,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2013,2013,81.2
AUT,Austria,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2014,2014,79.7
AUT,Austria,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2015,2015,80.7
AUT,Austria,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2016,2016,80.8
AUT,Austria,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2017,2017,81.1
AUT,Austria,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2018,2018,83.3
AUT,Austria,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2019,2019,82
