DATAFLOW,LAST UPDATE,freq,sex,age,citizen,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AL,2017,,u
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AL,2018,0,u
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AL,2019,0,u
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AL,2020,,u
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AT,2011,10.3,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AT,2012,11.1,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AT,2013,11.2,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AT,2014,11.2,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AT,2015,10.7,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AT,2016,8.9,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AT,2017,8.3,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AT,2018,10.1,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AT,2019,8.5,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AT,2020,8.6,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,AT,2021,6.3,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BE,2011,8.8,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BE,2012,9.1,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BE,2013,9.4,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BE,2014,12.7,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BE,2015,14,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BE,2016,12.5,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BE,2017,9,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BE,2018,9.1,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BE,2019,10.2,b
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BE,2020,7.7,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BE,2021,8.6,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BG,2011,13.4,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BG,2012,5.5,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BG,2013,15.3,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BG,2014,14.3,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BG,2015,17.1,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BG,2016,10.8,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BG,2017,6.7,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BG,2018,5.9,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BG,2019,3.8,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BG,2020,4.4,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,BG,2021,8.7,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,CH,2011,5.4,
