DATAFLOW,LAST UPDATE,freq,sex,age,citizen,reason,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AL,2017,,u
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AL,2018,,u
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AL,2019,,u
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AL,2020,,u
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AT,2011,0.2,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AT,2012,0.2,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AT,2013,0.3,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AT,2014,0,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AT,2015,0,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AT,2016,0,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AT,2017,0,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AT,2018,0,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AT,2019,0,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AT,2020,0.2,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,AT,2021,0,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,BE,2011,0,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,BE,2012,0.1,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,BE,2013,0,n
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,BE,2014,0,
ESTAT:HLTH_SILC_30(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,FEAR,PC,BE,2015,0,n
